Date,Open,High,Low,Close
12-January-2018,34578.99,34638.42,34342.16,34592.39,
15-January-2018,34687.21,34963.69,34687.21,34843.51,
16-January-2018,34877.71,34936.03,34735.55,34771.05,
17-January-2018,34753.80,35118.61,34700.82,35081.82,
18-January-2018,35366.45,35507.36,35166.44,35260.29,
19-January-2018,35339.11,35542.17,35221.16,35511.58,
22-January-2018,35613.97,35827.70,35544.68,35798.01,
23-January-2018,35868.19,36170.83,35863.98,36139.98,
24-January-2018,36161.62,36268.19,36036.51,36161.64,
25-January-2018,36208.39,36247.02,35823.35,36050.44,
29-January-2018,36106.36,36443.98,36093.36,36283.25,
30-January-2018,36277.12,36291.82,35993.41,36033.73,
31-January-2018,35951.64,36050.69,35818.41,35965.02,
1-February-2018,36048.99,36256.83,35501.74,35906.66,
2-February-2018,35707.60,35738.13,35006.41,35066.75,
5-February-2018,34718.85,34874.17,34520.80,34757.16,
6-February-2018,33753.78,34521.01,33482.81,34195.94,
7-February-2018,34563.30,34666.33,34008.42,34082.71,
8-February-2018,34208.11,34634.35,34108.76,34413.16,
9-February-2018,34002.45,34070.73,33849.65,34005.76,
12-February-2018,34203.34,34351.34,34115.12,34300.47,
14-February-2018,34436.98,34473.43,34028.68,34155.95,
15-February-2018,34207.57,34535.08,34186.01,34297.47,
16-February-2018,34411.24,34508.24,33957.33,34010.76,
19-February-2018,34053.95,34122.96,33554.37,33774.66,
20-February-2018,33913.94,33960.95,33657.89,33703.59,
21-February-2018,33813.83,33911.36,33702.50,33844.86,
22-February-2018,33817.09,33868.74,33691.42,33819.50,
23-February-2018,33832.00,34167.60,33832.00,34142.15,
26-February-2018,34225.72,34483.39,34225.72,34445.75,
27-February-2018,34558.56,34610.79,34314.87,34346.39,
28-February-2018,34155.63,34302.74,34076.45,34184.04,
1-March-2018,34141.22,34278.63,34015.79,34046.94,
5-March-2018,34034.28,34034.28,33653.41,33746.78,
6-March-2018,34047.43,34060.13,33209.76,33317.20,
7-March-2018,33279.39,33331.21,32991.14,33033.09,
8-March-2018,33244.52,33439.97,33037.48,33351.57,
9-March-2018,33465.05,33519.49,33256.42,33307.14,
12-March-2018,33468.16,33962.48,33468.16,33917.94,
13-March-2018,33818.22,34077.32,33722.96,33856.78,
14-March-2018,33733.55,33875.15,33580.69,33835.74,
15-March-2018,33843.47,33866.28,33637.28,33685.54,
16-March-2018,33685.86,33691.32,33119.92,33176.00,
19-March-2018,33268.97,33275.79,32856.54,32923.12,
20-March-2018,32876.48,33102.74,32810.86,32996.76,
21-March-2018,33090.82,33354.93,33070.53,33136.18,
22-March-2018,33206.99,33281.77,32963.31,33006.27,
23-March-2018,32650.89,32720.03,32483.84,32596.54,
26-March-2018,32536.44,33115.41,32515.17,33066.41,
27-March-2018,33172.98,33371.04,33077.13,33174.39,
28-March-2018,33098.09,33104.11,32917.66,32968.68,
2-April-2018,33030.87,33289.34,32997.88,33255.36,
3-April-2018,33197.42,33402.94,33153.83,33370.63,
4-April-2018,33437.52,33505.53,32972.56,33019.07,
5-April-2018,33289.96,33637.46,33267.86,33596.80,
6-April-2018,33608.59,33697.51,33501.37,33626.97,
9-April-2018,33653.61,33846.50,33578.91,33788.54,
10-April-2018,33880.11,33949.98,33813.30,33880.25,
11-April-2018,33970.35,33981.54,33750.74,33940.44,
12-April-2018,33987.55,34177.44,33924.88,34101.13,
13-April-2018,34167.53,34313.14,34103.53,34192.65,
16-April-2018,33944.73,34341.46,33899.34,34305.43,
17-April-2018,34381.80,34434.14,34229.83,34395.06,
18-April-2018,34443.42,34591.81,34270.04,34331.68,
19-April-2018,34403.67,34478.82,34358.91,34427.29,
20-April-2018,34434.14,34487.33,34311.29,34415.58,
23-April-2018,34493.69,34663.95,34259.27,34450.77,
24-April-2018,34491.38,34706.71,34465.49,34616.64,
25-April-2018,34593.17,34631.27,34400.56,34501.27,
26-April-2018,34532.95,34747.97,34505.62,34713.60,
27-April-2018,34747.04,35065.37,34744.73,34969.70,
30-April-2018,35021.20,35213.30,35004.00,35160.36,
2-May-2018,35328.91,35357.15,35072.42,35176.42,
3-May-2018,35257.31,35257.31,35020.08,35103.14,
4-May-2018,35144.96,35206.55,34847.61,34915.38,
7-May-2018,34983.59,35259.81,34977.74,35208.14,
8-May-2018,35349.85,35388.87,35136.01,35216.32,
9-May-2018,35198.08,35404.83,35134.20,35319.35,
10-May-2018,35353.96,35500.76,35203.85,35246.27,
11-May-2018,35287.99,35596.15,35262.06,35535.79,
14-May-2018,35555.83,35642.72,35456.56,35556.71,
15-May-2018,35537.85,35993.53,35497.92,35543.94,
16-May-2018,35452.35,35543.89,35241.63,35387.88,
17-May-2018,35483.62,35510.01,35087.82,35149.12,
18-May-2018,35143.59,35163.11,34821.62,34848.30,
21-May-2018,34873.16,34973.95,34593.82,34616.13,
22-May-2018,34601.49,34754.60,34550.22,34651.24,
23-May-2018,34656.63,34668.47,34302.89,34344.91,
24-May-2018,34404.14,34741.46,34367.83,34663.11,
25-May-2018,34753.47,35017.93,34700.52,34924.87,
28-May-2018,35074.32,35240.96,35006.50,35165.48,
29-May-2018,35213.14,35234.14,34922.18,34949.24,
30-May-2018,34876.13,35017.45,34735.11,34906.11,
31-May-2018,35083.81,35416.03,34926.08,35322.38,
1-June-2018,35373.98,35438.22,35177.35,35227.26,
4-June-2018,35503.24,35555.59,34982.25,35011.89,
5-June-2018,35029.45,35073.12,34784.68,34903.21,
6-June-2018,34932.49,35230.54,34896.37,35178.88,
7-June-2018,35278.38,35628.49,35278.38,35463.08,
8-June-2018,35406.47,35484.94,35260.00,35443.67,
11-June-2018,35472.59,35704.84,35444.49,35483.47,
12-June-2018,35525.30,35743.08,35479.07,35692.52,
13-June-2018,35835.44,35877.41,35715.96,35739.16,
14-June-2018,35743.10,35749.88,35488.55,35599.82,
15-June-2018,35656.26,35675.20,35419.68,35622.14,
18-June-2018,35698.43,35721.55,35518.73,35548.26,
19-June-2018,35552.47,35552.47,35249.06,35286.74,
20-June-2018,35329.61,35571.37,35329.51,35547.33,
21-June-2018,35644.05,35678.69,35396.97,35432.39,
22-June-2018,35428.42,35741.26,35344.49,35689.60,
25-June-2018,35783.75,35806.97,35430.11,35470.35,
26-June-2018,35355.72,35616.64,35338.09,35490.04,
27-June-2018,35543.89,35618.85,35154.21,35217.11,
28-June-2018,35207.19,35282.40,34937.15,35037.64,
29-June-2018,35128.16,35459.05,35099.65,35423.48,
2-July-2018,35545.22,35578.24,35106.57,35264.41,
3-July-2018,35344.21,35445.21,35195.63,35378.60,
4-July-2018,35385.52,35667.31,35309.67,35645.40,
5-July-2018,35703.17,35748.26,35517.79,35574.55,
6-July-2018,35543.66,35799.71,35532.21,35657.86,
9-July-2018,35835.10,35977.37,35779.72,35934.72,
10-July-2018,36068.27,36274.33,36019.63,36239.62,
11-July-2018,36299.26,36362.30,36169.70,36265.93,
12-July-2018,36424.23,36699.53,36422.08,36548.41,
13-July-2018,36635.14,36740.07,36501.61,36541.63,
16-July-2018,36658.71,36658.71,36298.94,36323.77,
17-July-2018,36390.99,36549.55,36261.78,36519.96,
18-July-2018,36722.41,36747.87,36320.92,36373.44,
19-July-2018,36509.08,36515.58,36279.33,36351.23,
20-July-2018,36377.03,36567.34,36335.61,36496.37,
23-July-2018,36501.05,36749.69,36491.83,36718.60,
24-July-2018,36859.39,36902.06,36709.72,36825.10,
25-July-2018,36928.06,36947.18,36803.15,36858.23,
26-July-2018,36928.38,37061.62,36852.53,36984.64,
27-July-2018,37253.86,37368.62,37134.88,37336.85,
30-July-2018,37491.39,37533.50,37292.45,37494.40,
31-July-2018,37534.95,37644.59,37298.75,37606.58,
1-August-2018,37643.87,37711.87,37432.91,37521.62,
2-August-2018,37529.69,37529.69,37128.99,37165.16,
3-August-2018,37327.16,37582.27,37319.61,37556.16,
6-August-2018,37714.70,37805.25,37643.29,37691.89,
7-August-2018,37849.21,37876.87,37586.88,37665.80,
8-August-2018,37756.24,37931.42,37641.40,37887.56,
9-August-2018,37994.51,38076.23,37939.28,38024.37,
10-August-2018,38050.07,38051.45,37815.75,37869.23,
13-August-2018,37693.19,37799.54,37559.26,37644.90,
14-August-2018,37749.59,37932.40,37689.71,37852.00,
16-August-2018,37796.01,37891.92,37634.13,37663.56,
17-August-2018,37898.60,38022.32,37840.16,37947.88,
20-August-2018,38075.07,38340.69,38050.69,38278.75,
21-August-2018,38360.32,38402.96,38213.87,38285.75,
23-August-2018,38416.65,38487.63,38227.36,38336.76,
24-August-2018,38366.79,38429.50,38172.77,38251.80,
27-August-2018,38472.03,38736.88,38416.73,38694.11,
28-August-2018,38814.76,38938.91,38760.58,38896.63,
29-August-2018,38989.65,38989.65,38679.57,38722.93,
30-August-2018,38796.98,38819.06,38581.83,38690.10,
31-August-2018,38704.84,38838.45,38562.21,38645.07,
3-September-2018,38915.91,38934.35,38270.01,38312.52,
4-September-2018,38460.96,38518.56,38098.60,38157.92,
5-September-2018,38192.95,38250.61,37774.42,38018.31,
6-September-2018,38161.85,38320.96,37912.50,38242.81,
7-September-2018,38314.55,38421.56,38067.22,38389.82,
10-September-2018,38348.39,38354.52,37882.83,37922.17,
11-September-2018,38017.49,38043.27,37361.20,37413.13,
12-September-2018,37546.42,37752.58,37342.00,37717.96,
14-September-2018,37939.29,38125.62,37859.52,38090.64,
17-September-2018,38027.81,38027.81,37548.93,37585.51,
18-September-2018,37660.19,37745.44,37242.85,37290.67,
19-September-2018,37432.93,37530.63,37062.69,37121.22,
21-September-2018,37278.89,37489.24,35993.64,36841.60,
24-September-2018,36924.72,36945.50,36216.95,36305.02,
25-September-2018,36350.25,36705.79,36064.10,36652.06,
26-September-2018,36936.64,36938.74,36357.93,36542.27,
27-September-2018,36691.93,36711.62,36238.23,36324.17,
28-September-2018,36452.74,36551.86,35985.63,36227.14,
1-October-2018,36274.25,36616.64,35960.65,36526.14,
3-October-2018,36602.85,36602.85,35911.82,35975.63,
4-October-2018,35820.53,35820.53,35022.12,35169.16,
5-October-2018,35097.99,35118.54,34202.22,34376.99,
8-October-2018,34412.36,34636.43,33974.66,34474.38,
9-October-2018,34651.82,34711.68,34233.50,34299.47,
10-October-2018,34493.21,34858.35,34346.50,34760.89,
11-October-2018,34063.82,34325.18,33723.53,34001.15,
12-October-2018,34291.92,34808.42,34279.78,34733.58,
15-October-2018,34971.83,35008.65,34559.98,34865.10,
16-October-2018,35004.33,35215.79,34913.06,35162.48,
17-October-2018,35543.38,35605.43,34727.16,34779.58,
19-October-2018,34563.29,34563.29,34140.32,34315.63,
22-October-2018,34689.39,34748.69,34082.76,34134.38,
23-October-2018,33935.88,34073.92,33742.75,33847.23,
24-October-2018,34203.70,34300.97,33726.07,34033.96,
25-October-2018,33778.60,33838.76,33553.18,33690.09,
26-October-2018,33776.80,33776.80,33291.58,33349.31,
29-October-2018,33549.88,34154.60,33341.80,34067.40,
30-October-2018,34068.92,34176.36,33799.79,33891.13,
31-October-2018,33963.09,34463.38,33587.24,34442.05,
1-November-2018,34650.63,34679.93,34303.38,34431.97,
2-November-2018,34743.95,35190.20,34649.80,35011.65,
5-November-2018,35118.62,35123.41,34811.60,34950.92,
6-November-2018,35076.24,35196.03,34889.72,34991.91,
7-November-2018,35301.88,35302.25,35183.17,35237.68,
9-November-2018,35258.13,35287.29,35011.23,35158.55,
12-November-2018,35287.49,35333.22,34756.80,34812.99,
13-November-2018,34846.19,35187.75,34672.20,35144.49,
14-November-2018,35330.14,35351.88,34986.86,35141.99,
15-November-2018,35145.75,35402.00,35118.42,35260.54,
16-November-2018,35398.70,35545.85,35324.37,35457.16,
19-November-2018,35647.62,35818.83,35511.10,35774.88,
20-November-2018,35730.77,35731.67,35416.18,35474.51,
21-November-2018,35492.62,35494.25,35112.49,35199.80,
22-November-2018,35282.33,35364.50,34937.98,34981.02,
26-November-2018,35118.09,35397.24,34896.07,35354.08,
27-November-2018,35394.77,35555.16,35262.97,35513.14,
28-November-2018,35635.52,35822.16,35605.34,35716.95,
29-November-2018,35997.29,36253.85,35946.24,36170.41,
30-November-2018,36304.43,36389.22,36082.97,36194.30,
3-December-2018,36396.69,36446.16,36099.68,36241.00,
4-December-2018,36290.48,36295.84,36036.39,36134.31,
5-December-2018,36035.65,36048.65,35777.81,35884.41,
6-December-2018,35694.25,35707.23,35266.76,35312.13,
7-December-2018,35494.86,35730.05,35378.27,35673.25,
10-December-2018,35204.66,35246.97,34915.77,34959.72,
11-December-2018,34584.13,35207.33,34426.29,35150.01,
12-December-2018,35277.84,35826.58,35167.47,35779.07,
13-December-2018,36024.88,36095.56,35794.51,35929.64,
14-December-2018,35960.19,36019.02,35813.85,35962.93,
17-December-2018,36129.13,36312.31,36123.62,36270.07,
18-December-2018,36226.38,36375.38,36046.52,36347.08,
19-December-2018,36441.46,36554.99,36381.87,36484.33,
20-December-2018,36321.18,36475.52,36202.90,36431.67,
21-December-2018,36449.27,36483.49,35694.74,35742.07,
24-December-2018,35859.66,35910.67,35423.24,35470.15,
26-December-2018,35443.16,35711.26,35010.82,35649.94,
27-December-2018,36002.11,36041.24,35781.95,35807.28,
28-December-2018,35911.99,36194.78,35911.99,36076.72,
31-December-2018,36239.19,36285.46,36033.95,36068.33,
1-January-2019,36161.80,36284.04,35888.62,36254.57,
2-January-2019,36198.13,36236.70,35734.01,35891.52,
3-January-2019,35934.50,35999.66,35475.57,35513.71,
4-January-2019,35590.79,35744.20,35382.08,35695.10,
7-January-2019,35971.18,36076.95,35809.23,35850.16,
8-January-2019,35964.62,36037.35,35753.95,35980.93,
9-January-2019,36181.37,36250.54,35863.29,36212.91,
10-January-2019,36258.00,36269.31,36070.76,36106.50,
11-January-2019,36191.87,36214.26,35840.60,36009.84,
14-January-2019,36113.27,36124.94,35691.75,35853.56,
15-January-2019,35950.08,36349.31,35950.08,36318.33,
16-January-2019,36370.74,36462.03,36278.61,36321.29,
17-January-2019,36413.60,36468.42,36170.80,36374.08,
18-January-2019,36417.58,36469.98,36218.33,36386.61,
21-January-2019,36467.12,36701.03,36351.77,36578.96,
22-January-2019,36649.92,36650.47,36282.93,36444.64,
23-January-2019,36494.12,36521.47,36037.90,36108.47,
24-January-2019,36146.55,36258.28,35996.68,36195.10,
25-January-2019,36245.77,36474.48,35953.15,36025.54,
28-January-2019,36099.62,36124.26,35565.15,35656.70,
29-January-2019,35716.72,35734.14,35375.51,35592.50,
30-January-2019,35819.67,35850.41,35490.97,35591.25,
31-January-2019,35805.51,36278.13,35740.07,36256.69,
1-February-2019,36311.74,36778.14,36221.32,36469.43,
4-February-2019,36456.22,36622.77,36225.48,36582.74,
5-February-2019,36573.04,36727.83,36495.83,36616.81,
6-February-2019,36714.54,37005.25,36680.88,36975.23,
7-February-2019,37026.56,37172.18,36898.80,36971.09,
8-February-2019,36873.59,36885.58,36480.62,36546.48,
11-February-2019,36585.50,36588.41,36300.48,36395.03,
12-February-2019,36405.72,36465.40,36113.91,36153.62,
13-February-2019,36279.63,36375.80,35962.68,36034.11,
14-February-2019,36065.08,36109.10,35799.42,35876.22,
15-February-2019,35985.68,36022.57,35510.97,35808.95,
18-February-2019,35831.18,35912.44,35470.76,35498.44,
19-February-2019,35543.24,35776.04,35287.16,35352.61,
20-February-2019,35564.93,35797.11,35469.49,35756.26,
21-February-2019,35837.00,35983.07,35707.29,35898.35,
22-February-2019,35906.01,35941.69,35795.79,35871.48,
25-February-2019,35983.80,36242.18,35901.06,36213.38,
26-February-2019,35975.75,36172.52,35714.16,35973.71,
27-February-2019,36138.83,36371.11,35735.33,35905.43,
28-February-2019,36025.72,36085.85,35829.15,35867.44,
1-March-2019,36018.49,36140.67,35952.41,36063.81,
5-March-2019,36141.07,36457.44,35926.94,36442.54,
6-March-2019,36544.86,36666.47,36456.82,36636.10,
7-March-2019,36744.02,36830.25,36590.88,36725.42,
8-March-2019,36753.59,36753.59,36592.93,36671.43,
11-March-2019,36741.57,37106.19,36726.39,37054.10,
12-March-2019,37249.65,37586.63,37230.85,37535.66,
13-March-2019,37608.29,37797.29,37478.87,37752.17,
14-March-2019,37840.64,37907.78,37693.69,37754.89,
15-March-2019,37760.23,38254.77,37760.23,38024.32,
18-March-2019,38132.96,38369.59,37952.10,38095.07,
19-March-2019,38218.59,38396.06,38078.23,38363.47,
20-March-2019,38433.86,38489.81,38316.21,38386.75,
22-March-2019,38452.47,38564.71,38089.36,38164.61,
25-March-2019,38016.76,38016.76,37667.40,37808.91,
26-March-2019,37886.29,38297.70,37800.08,38233.41,
27-March-2019,38372.03,38475.93,38001.34,38132.88,
28-March-2019,38208.30,38593.65,38148.44,38545.72,
29-March-2019,38675.00,38748.54,38546.68,38672.91,
1-April-2019,38858.88,39115.57,38808.74,38871.87,
2-April-2019,38988.57,39121.69,38846.96,39056.65,
3-April-2019,39167.05,39270.14,38826.56,38877.12,
4-April-2019,38935.75,38939.35,38581.04,38684.72,
5-April-2019,38839.52,38958.60,38701.04,38862.23,
8-April-2019,38993.60,39041.25,38520.96,38700.53,
9-April-2019,38730.93,38978.99,38598.72,38939.22,
10-April-2019,38898.60,38950.45,38542.28,38585.35,
11-April-2019,38621.58,38649.98,38460.25,38607.01,
12-April-2019,38692.06,38818.87,38554.79,38767.11,
15-April-2019,38805.54,38976.58,38780.08,38905.84,
16-April-2019,39040.30,39364.34,39038.81,39275.64,
18-April-2019,39420.04,39487.45,39083.16,39140.28,
22-April-2019,39158.22,39158.22,38585.65,38645.18,
23-April-2019,38771.27,38832.61,38518.26,38564.88,
24-April-2019,38672.63,39095.35,38571.00,39054.68,
25-April-2019,39101.78,39262.22,38663.98,38730.86,
26-April-2019,38865.83,39103.16,38765.33,39067.33,
30-April-2019,39056.92,39105.88,38753.46,39031.55,
2-May-2019,39036.51,39189.95,38882.99,38981.43,
3-May-2019,39009.55,39172.76,38920.17,38963.26,
6-May-2019,38719.33,38719.33,38509.79,38600.34,
7-May-2019,38815.46,38835.54,38236.18,38276.63,
8-May-2019,38244.18,38248.57,37743.07,37789.13,
9-May-2019,37747.91,37780.46,37405.40,37558.91,
10-May-2019,37632.36,37721.98,37370.39,37462.99,
13-May-2019,37491.30,37583.57,36999.84,37090.82,
14-May-2019,37146.58,37572.70,36956.10,37318.53,
15-May-2019,37539.05,37559.67,37047.87,37114.88,
16-May-2019,37179.13,37518.94,37052.30,37393.48,
17-May-2019,37494.42,38001.13,37415.36,37930.77,
20-May-2019,38701.18,39412.56,38570.04,39352.67,
21-May-2019,39449.45,39571.73,38884.85,38969.80,
22-May-2019,39086.21,39249.08,38903.87,39110.21,
23-May-2019,39591.77,40124.96,38651.61,38811.39,
24-May-2019,39076.28,39476.97,38824.26,39434.72,
27-May-2019,39536.23,39821.94,39353.16,39683.29,
28-May-2019,39765.64,39828.65,39498.65,39749.73,
29-May-2019,39714.27,39767.93,39420.50,39502.05,
30-May-2019,39580.28,39911.92,39500.56,39831.97,
31-May-2019,39998.91,40122.34,39374.24,39714.20,
3-June-2019,39806.86,40308.90,39711.02,40267.62,
4-June-2019,40196.00,40312.07,40031.05,40083.54,
6-June-2019,40136.43,40159.26,39481.15,39529.72,
7-June-2019,39581.77,39703.10,39279.47,39615.90,
10-June-2019,39787.33,39979.48,39619.97,39784.52,
11-June-2019,39900.45,40066.31,39760.02,39950.46,
12-June-2019,39974.18,39982.10,39623.53,39756.81,
13-June-2019,39679.35,39800.81,39461.27,39741.36,
14-June-2019,39797.00,39799.90,39363.45,39452.07,
17-June-2019,39514.36,39540.42,38911.49,38960.79,
18-June-2019,39056.98,39167.83,38870.96,39046.34,
19-June-2019,39176.56,39435.80,38881.05,39112.74,
20-June-2019,39042.96,39638.64,38933.78,39601.63,
21-June-2019,39608.25,39617.95,39121.30,39194.49,
24-June-2019,39160.23,39300.02,39021.70,39122.96,
25-June-2019,39131.94,39490.64,38946.04,39434.94,
26-June-2019,39379.13,39674.22,39319.64,39592.08,
27-June-2019,39633.97,39817.22,39510.44,39586.41,
28-June-2019,39630.52,39675.25,39361.92,39394.64,
1-July-2019,39543.73,39764.82,39541.09,39686.50,
2-July-2019,39811.68,39838.49,39499.19,39816.48,
3-July-2019,39907.57,39934.99,39732.38,39839.25,
4-July-2019,39917.65,39979.10,39858.33,39908.06,
5-July-2019,39990.40,40032.41,39441.38,39513.39,
8-July-2019,39476.38,39476.38,38605.48,38720.57,
9-July-2019,38754.47,38814.23,38435.87,38730.82,
10-July-2019,38701.99,38854.85,38474.66,38557.04,
11-July-2019,38751.62,38892.50,38631.31,38823.11,
12-July-2019,38941.10,39021.84,38684.85,38736.23,
15-July-2019,39009.95,39023.97,38696.60,38896.71,
16-July-2019,38961.86,39173.89,38845.27,39131.04,
17-July-2019,39171.10,39284.73,39081.14,39215.64,
18-July-2019,39204.47,39204.47,38861.25,38897.46,
19-July-2019,39058.73,39058.73,38271.35,38337.01,
22-July-2019,38333.52,38333.52,37890.32,38031.13,
23-July-2019,38138.56,38217.81,37898.90,37982.74,
24-July-2019,37990.23,38102.84,37708.41,37847.65,
25-July-2019,37935.02,38169.87,37775.51,37830.98,
26-July-2019,37831.18,37978.07,37690.47,37882.79,
29-July-2019,38043.22,38043.22,37519.16,37686.37,
30-July-2019,37735.54,37950.21,37359.03,37397.24,
31-July-2019,37257.55,37576.37,37128.26,37481.12,
1-August-2019,37387.18,37387.18,36694.18,37018.32,
2-August-2019,36920.11,37375.16,36607.41,37118.22,
5-August-2019,36842.17,36844.05,36416.79,36699.84,
6-August-2019,36568.03,37241.77,36536.59,36976.85,
7-August-2019,37025.27,37104.79,36610.57,36690.50,
8-August-2019,36808.01,37405.48,36655.41,37327.36,
9-August-2019,37521.30,37807.55,37406.26,37581.91,
13-August-2019,37755.16,37755.16,36888.49,36958.16,
14-August-2019,37233.50,37473.61,37000.77,37311.53,
16-August-2019,37383.00,37444.45,36974.41,37350.33,
19-August-2019,37485.92,37718.88,37358.49,37402.49,
20-August-2019,37441.75,37511.55,37219.90,37328.01,
21-August-2019,37298.73,37406.55,37022.52,37060.37,
22-August-2019,37087.58,37087.58,36391.35,36472.93,
23-August-2019,36387.68,36807.34,36102.35,36701.16,
26-August-2019,37363.95,37544.48,36492.65,37494.12,
27-August-2019,37658.48,37731.51,37449.69,37641.27,
28-August-2019,37655.77,37687.82,37249.19,37451.84,
29-August-2019,37381.80,37381.80,36987.35,37068.93,
30-August-2019,37222.26,37397.97,36829.81,37332.79,
3-September-2019,37181.76,37188.38,36466.01,36562.91,
4-September-2019,36575.24,36776.31,36409.54,36724.74,
5-September-2019,36821.71,36898.99,36541.88,36644.42,
6-September-2019,36785.59,37012.98,36727.66,36981.77,
9-September-2019,36969.48,37244.08,36784.47,37145.45,
11-September-2019,37251.03,37343.46,37193.57,37270.82,
12-September-2019,37330.47,37435.15,37048.67,37104.28,
13-September-2019,37175.86,37413.50,37000.09,37384.99,
16-September-2019,37204.56,37302.06,37028.94,37123.31,
17-September-2019,37169.46,37169.56,36419.09,36481.09,
18-September-2019,36621.38,36712.99,36465.92,36563.88,
19-September-2019,36613.93,36613.93,35987.80,36093.47,
20-September-2019,36214.92,38378.02,36085.74,38014.62,
23-September-2019,38844.00,39441.12,38674.04,39090.03,
24-September-2019,39135.28,39306.37,38913.06,39097.14,
25-September-2019,39087.20,39087.20,38510.97,38593.52,
26-September-2019,38700.48,39158.07,38676.11,38989.74,
27-September-2019,39003.13,39107.37,38782.60,38822.57,
30-September-2019,38873.12,38873.12,38401.09,38667.33,
1-October-2019,38813.48,38923.78,37929.89,38305.41,
3-October-2019,38137.87,38310.93,37957.56,38106.87,
4-October-2019,38401.49,38403.54,37633.36,37673.31,
7-October-2019,37853.80,37919.47,37480.53,37531.98,
9-October-2019,37628.05,38209.84,37415.83,38177.95,
10-October-2019,38130.23,38130.23,37802.93,37880.40,
11-October-2019,37994.48,38345.41,37737.85,38127.08,
14-October-2019,38208.24,38513.69,38066.13,38214.47,
15-October-2019,38316.49,38635.19,38238.27,38506.09,
16-October-2019,38637.05,38666.38,38416.67,38598.99,
17-October-2019,38647.44,39104.69,38557.43,39052.06,
18-October-2019,39087.83,39361.06,38963.60,39298.38,
22-October-2019,39233.40,39426.47,38924.85,38963.84,
23-October-2019,39063.84,39196.67,38866.08,39058.83,
24-October-2019,39223.01,39327.15,38840.76,39020.39,
25-October-2019,39201.67,39241.61,38718.27,39058.06,
27-October-2019,39397.37,39402.23,39180.39,39250.20,
29-October-2019,39293.49,39917.01,39254.12,39831.84,
30-October-2019,40055.63,40178.12,39805.11,40051.87,
31-October-2019,40211.99,40392.22,40054.89,40129.05,
1-November-2019,40196.07,40283.30,40014.23,40165.03,
4-November-2019,40293.85,40483.21,40186.29,40301.96,
5-November-2019,40445.67,40466.55,40053.55,40248.23,
6-November-2019,40311.85,40606.91,40037.53,40469.78,
7-November-2019,40625.64,40688.27,40421.07,40653.74,
8-November-2019,40630.56,40749.33,40263.94,40323.61,
11-November-2019,40316.50,40417.44,40150.97,40345.08,
13-November-2019,40346.43,40447.17,40061.23,40116.06,
14-November-2019,40178.93,40348.61,40026.99,40286.48,
15-November-2019,40408.20,40650.06,40308.09,40356.69,
18-November-2019,40431.08,40542.40,40221.97,40284.19,
19-November-2019,40455.36,40544.13,40290.21,40469.70,
20-November-2019,40729.80,40816.38,40575.96,40651.64,
21-November-2019,40737.31,40744.85,40534.12,40575.17,
22-November-2019,40653.17,40653.17,40276.83,40359.41,
25-November-2019,40439.66,40931.71,40393.90,40889.23,
26-November-2019,41022.85,41120.28,40710.20,40821.30,
27-November-2019,40979.39,41075.76,40848.70,41020.61,
28-November-2019,41161.54,41163.79,40996.08,41130.17,
29-November-2019,41138.26,41143.22,40664.18,40793.81,
2-December-2019,41072.94,41093.99,40707.63,40802.17,
3-December-2019,40852.61,40885.03,40554.04,40675.45,
4-December-2019,40606.01,40886.87,40475.83,40850.29,
5-December-2019,40988.14,41002.41,40720.17,40779.59,
6-December-2019,40952.13,40952.13,40337.53,40445.15,
9-December-2019,40527.24,40645.63,40336.56,40487.43,
10-December-2019,40588.81,40588.81,40208.70,40239.88,
11-December-2019,40285.20,40466.13,40135.37,40412.57,
12-December-2019,40561.34,40712.65,40490.69,40581.71,
13-December-2019,40754.82,41055.80,40736.70,41009.71,
16-December-2019,41168.85,41185.03,40917.93,40938.72,
17-December-2019,41052.36,41401.65,41005.18,41352.17,
18-December-2019,41442.75,41614.77,41358.47,41558.57,
19-December-2019,41571.82,41719.29,41456.40,41673.92,
20-December-2019,41746.20,41809.96,41636.11,41681.54,
23-December-2019,41548.26,41701.62,41474.61,41642.66,
24-December-2019,41684.51,41702.98,41423.07,41461.26,
26-December-2019,41543.80,41543.80,41132.89,41163.76,
27-December-2019,41297.08,41611.27,41264.92,41575.14,
30-December-2019,41686.27,41714.73,41453.38,41558.00,
31-December-2019,41607.49,41607.49,41184.73,41253.74,
1-January-2020,41349.36,41443.52,41251.18,41306.02,
2-January-2020,41340.27,41649.29,41328.45,41626.64,
3-January-2020,41634.51,41636.18,41348.68,41464.61,
6-January-2020,41378.34,41378.34,40613.96,40676.63,
7-January-2020,40983.04,41230.14,40727.37,40869.47,
8-January-2020,40574.83,40866.36,40476.55,40817.74,
9-January-2020,41216.67,41482.12,41175.72,41452.35,
10-January-2020,41568.20,41775.11,41447.80,41599.72,
13-January-2020,41788.21,41899.63,41720.76,41859.69,
14-January-2020,41883.09,41994.26,41770.90,41952.63,
15-January-2020,41969.86,41969.86,41648.11,41872.73,
16-January-2020,41924.74,42059.45,41812.28,41932.56,
17-January-2020,41929.02,42063.93,41850.29,41945.37,
20-January-2020,42263.00,42273.87,41503.37,41528.91,
21-January-2020,41487.57,41532.59,41294.30,41323.81,
22-January-2020,41467.13,41532.29,41059.04,41115.38,
23-January-2020,41191.50,41413.96,41098.91,41386.40,
